Unnamed: 0,date,open,high,low,close,volume,past_ret_1h,past_ret_2h,past_ret_4h,past_ret_8h,past_ret_16h,forward regime,probability,0.6 percent prediction,1 percent prediction,1.5 percent prediction
0,4/22/2025 3:00,3471.1,3475.1,3466.8,3475.1,36,-0.04609076,-0.04609076,-0.044913815,-0.046364133,-0.042050588,1,86.0,1.0,-1.0,-1.0
1,4/22/2025 4:00,3472.57,3494.08,3472.28,3487.27,151,-0.003489836,-0.049419747,-0.04886057,-0.055992223,-0.04538794,0,,,,
2,4/22/2025 5:00,3487.55,3487.94,3479.2,3484.67,156,0.000746125,-0.002746315,-0.048710495,-0.054005114,-0.046297067,0,89.0,-1.0,-1.0,-1.0
3,4/22/2025 6:00,3484.95,3495.01,3474.14,3493.26,152,-0.002459021,-0.001714731,-0.051049736,-0.050651827,-0.048888431,0,87.0,-1.0,-1.0,-1.0
4,4/22/2025 7:00,3492.59,3499.45,3477.36,3479.42,149,0.003977674,0.001508872,-0.001241586,-0.046099637,-0.045021871,0,91.0,,,
5,4/22/2025 8:00,3478.81,3479.83,3462.55,3467.81,155,0.003347934,0.007338926,0.005611611,-0.043523146,-0.040466462,0,83.0,1.0,1.0,1.0
6,4/22/2025 9:00,3469.41,3472.24,3443.09,3444.04,152,0.006901778,0.010272819,0.011797192,-0.03748795,-0.033974634,0,92.0,1.0,1.0,1.0
7,4/22/2025 10:00,3443.93,3457.76,3443.93,3454.22,147,-0.00294712,0.003934318,0.011302117,-0.040324588,-0.036636346,0,90.0,1.0,-1.0,1.0
8,4/22/2025 11:00,3455.0,3467.8,3451.75,3453.33,152,0.000257722,-0.002690157,0.007555027,0.00630406,-0.040352356,0,87.0,1.0,-1.0,1.0
9,4/22/2025 12:00,3451.2,3460.1,3448.01,3457.01,151,-0.001064504,-0.000807056,0.003124087,0.008753229,-0.047729107,0,87.0,1.0,-1.0,1.0
10,4/22/2025 13:00,3458.76,3464.28,3424.35,3430.37,152,0.007765926,0.006693156,0.003984993,0.015829196,-0.039030775,0,83.0,1.0,-1.0,-1.0
11,4/22/2025 14:00,3426.34,3448.55,3411.76,3418.57,147,0.003451736,0.011244468,0.010428337,0.021848317,-0.029910167,0,90.0,1.0,-1.0,-1.0
12,4/22/2025 15:00,3422.92,3438.58,3421.69,3429.84,152,-0.003285868,0.000154526,0.006848716,0.014455485,-0.032310545,0,97.0,1.0,-1.0,-1.0
13,4/22/2025 16:00,3429.03,3431.9,3410.58,3417.46,152,0.003622573,0.000324803,0.011572923,0.014733164,-0.029431215,0,97.0,1.0,-1.0,-1.0
14,4/22/2025 17:00,3419.13,3419.13,3372.05,3392.04,145,0.007494015,0.011143737,0.011299985,0.015330008,-0.022732633,1,93.0,-1.0,-1.0,-1.0
15,4/22/2025 18:00,3394.17,3409.68,3387.18,3402.62,151,-0.003109369,0.004361345,0.004687564,0.015164785,-0.025771317,0,,,,
16,4/22/2025 19:00,3402.26,3402.26,3374.06,3381.95,154,0.006111859,0.002983486,0.01416047,0.021106167,0.027543281,0,95.0,1.0,-1.0,-1.0
17,4/22/2025 20:00,3381.04,3385.47,3367.54,3374.82,153,0.002112705,0.008237476,0.012634748,0.024353891,0.033320296,0,,,,
18,4/22/2025 21:00,3375.59,3382.44,3374.13,3381.16,156,-0.001875096,0.000233648,0.003217831,0.014554177,0.030613754,0,,,,
19,4/22/2025 22:00,3381.16,3381.24,3381.16,3381.24,2,-2.37e-05,-0.001898712,0.006323124,0.011040328,0.033129858,0,,,,
20,4/22/2025 23:00,3322.68,3381.16,3317.94,3325.97,151,0.016617709,0.016593655,0.01683118,0.031229987,0.046136916,2,,,,
21,4/23/2025 0:00,3326.66,3348.94,3326.66,3335.75,157,-0.002931874,0.013637113,0.011712508,0.024495241,0.039589298,2,,,,
22,4/23/2025 1:00,3336.78,3368.57,3334.74,3367.46,156,-0.009416593,-0.012320859,0.004068348,0.00729927,0.022741176,0,,,,
23,4/23/2025 2:00,3372.24,3385.47,3360.56,3378.43,154,-0.00324707,-0.012633087,0.000831747,0.007160131,0.022433497,0,,,,
24,4/23/2025 3:00,3377.76,3379.29,3350.4,3354.53,154,0.007124694,0.003854489,-0.00851386,0.008174021,0.02945271,0,,,,
25,4/23/2025 4:00,3354.29,3354.89,3329.37,3338.71,155,0.004738357,0.01189681,-0.00088657,0.010815555,0.035432847,0,,,,
26,4/23/2025 5:00,3339.66,3346.44,3335.66,3345.83,153,-0.002128022,0.002600252,0.006464764,0.010559413,0.025267273,0,,,,
27,4/23/2025 6:00,3344.84,3348.92,3316.06,3318.82,155,0.008138435,0.005993094,0.017961203,0.01880789,0.030055863,0,89.0,,,
28,4/23/2025 7:00,3318.47,3325.42,3292.56,3301.53,151,0.005236966,0.013418021,0.016053163,0.007402628,0.0388638,2,87.0,1.0,-1.0,1.0
29,4/23/2025 8:00,3302.26,3319.68,3301.19,3319.2,149,-0.005323572,-0.000114485,0.005877922,0.004986141,0.029603519,1,,,,
30,4/23/2025 9:00,3318.83,3321.18,3305.86,3321.18,150,-0.000596174,-0.005916572,0.007422061,0.013934806,0.02133579,1,87.0,1.0,-1.0,1.0
31,4/23/2025 10:00,3320.96,3339.58,3317.32,3317.33,152,0.001160572,0.000563706,0.000449156,0.018418427,0.025710436,0,,,,
32,4/23/2025 11:00,3319.08,3335.26,3316.74,3329.78,154,-0.003738986,-0.002582753,-0.008484044,0.007432923,0.015667702,0,,,,
33,4/23/2025 12:00,3327.16,3338.58,3322.51,3325.75,148,0.001211757,-0.00253176,-0.001969481,0.003896865,0.014754567,0,,,,
34,4/23/2025 13:00,3324.49,3332.3,3311.99,3312.25,155,0.004075779,0.005292475,0.002696053,0.010138124,0.020804589,0,,,,
35,4/23/2025 14:00,3309.52,3312.62,3272.18,3276.44,144,0.010929545,0.015049871,0.012480009,0.012934771,0.031985936,1,,,,
36,4/23/2025 15:00,3275.36,3295.53,3256.16,3287.81,149,-0.003458229,0.00743352,0.012765336,0.004172991,0.01160651,1,,,,
37,4/23/2025 16:00,3286.31,3291.35,3270.45,3281.19,156,0.002017561,-0.001447646,0.013580439,0.011584212,0.016628114,2,,,,
38,4/23/2025 17:00,3280.82,3304.11,3279.34,3296.6,154,-0.004674513,-0.002666384,0.004747315,0.007456167,0.021494874,1,,,,
39,4/23/2025 18:00,3295.72,3300.23,3278.25,3281.24,153,0.004681157,-1.52e-05,-0.001462862,0.010998891,0.0296199,2,91.0,-1.0,-1.0,-1.0
40,4/23/2025 19:00,3280.93,3286.27,3277.9,3282.46,150,-0.000371672,0.004307745,0.001629875,0.014416017,0.021956094,2,,,,
41,4/23/2025 20:00,3282.69,3296.56,3282.46,3293.18,148,-0.003255212,-0.003625675,-0.003640858,0.009890137,0.013825542,2,,,,
42,4/23/2025 21:00,3293.15,3295.18,3284.4,3287.84,155,0.001624167,-0.001636333,0.002664363,0.007424327,0.01763772,2,,,,
43,4/23/2025 22:00,3287.84,3287.84,3287.84,3287.84,1,0.0,0.001624167,-0.002007397,-0.003467322,0.0094226,2,,,,
44,4/23/2025 23:00,3294.23,3315.53,3288.07,3308.76,159,-0.00632261,-0.00632261,-0.007948597,-0.006331677,-0.002185109,2,,,,
45,4/24/2025 0:00,3308.52,3316.38,3308.0,3315.57,170,-0.002053945,-0.008363569,-0.006752987,-0.010369258,0.001094834,2,85.0,-1.0,-1.0,-1.0
46,4/24/2025 1:00,3313.55,3337.99,3313.31,3331.72,151,-0.004847346,-0.006891335,-0.013170374,-0.010541102,-0.003163531,1,,,,
47,4/24/2025 2:00,3336.32,3365.42,3332.8,3357.17,148,-0.00758079,-0.012391389,-0.020651322,-0.022617264,-0.011867138,0,,,,
48,4/24/2025 3:00,3358.92,3362.51,3336.25,3342.01,153,0.004536192,-0.003078985,-0.009949102,-0.017818618,-0.003659474,0,,,,
